date,RECORD,SerNo,O3_Avg,T_int,Flow_Avg,Cell_Pres_Avg,T_Air,T_inst,O3_Status,Fan_Status,Zero_Status,V_Batt,Met_Diag_Flags
9/7/16 20:00,,2,46.825,10.875,2384.5,586.5,9.525,18.325,,0,0,12.705,
9/7/16 21:00,,2,48.375,8.225,2279.5,587.975,10,15.2,,0,0,12.655,
9/7/16 22:00,,2,49.75,8.025,2219,588.85,10.85,14.075,,0,0,12.62,
9/7/16 23:00,,2,48.025,8.45,2193.5,589.325,10.975,13.9,,0,0,12.59,
9/8/16 0:00,,2,47.075,8.325,2179.75,589.625,10.825,13.675,,0,0,12.56,
9/8/16 1:00,,2,46.875,7.95,2164.5,590.075,10.35,13.3,,0,0,12.5325,
9/8/16 2:00,,2,43.525,6.3,2137.5,591,8.025,12.275,,0,0,12.4975,
9/8/16 3:00,,2,45.45,5,2092.25,591.775,9.175,10.925,,0,0,12.4625,
9/8/16 4:00,,2,45,5.325,2067,592.175,9.95,10.8,,0,0,12.4325,
9/8/16 5:00,,2,44.125,4.4,2047.75,593.025,8.8,10.3,,0,0,12.4025,
9/8/16 6:00,,2,43.7,4.175,2110,590.55,8.975,9.725,,0,0,12.795,
9/8/16 7:00,,2,43.125,11.55,2413,581.675,11.45,14.1,,0,0,13.4525,
9/8/16 8:00,,2,44.075,16.85,2712,575.075,12.325,19.275,,0,0,13.92,
9/8/16 9:00,,2,45.625,18.35,2882,571.275,13.4,22.95,,0,0,14.1575,
9/8/16 10:00,,2,47.225,19.925,3143,560.875,14.8,26.1,,0,0,14.925,
9/8/16 11:00,,2,46.225,21.9,2985.75,568.6,17.875,28.525,,0,0,14.64,
9/8/16 12:00,,2,44.85,24.375,3103.25,565.275,18.225,31.25,,0,0,14.405,
9/8/16 13:00,,2,46.025,26.05,3119.75,564.85,19.6,33.325,,0,0,14.4125,
9/8/16 14:00,,2,46.325,27.5,3080.25,566,19.3,35.525,,0,0,14.3225,
9/8/16 15:00,,2,47.15,27.625,3113.5,565.075,19.25,36.3,,0,0,14.175,
9/8/16 16:00,,2,47.4,27.6,2995,569,18.525,36.7,,0,0,13.735,
9/8/16 17:00,,2,47.35,26,2726.5,578.15,16.975,36.05,,0,0,12.8925,
9/8/16 18:00,,2,49.725,22.225,2660.5,581.15,14.15,32.4,,0,0,12.8075,
9/8/16 19:00,,2,51.75,15.775,2542.5,584.025,12.575,24.85,,0,0,12.745,
9/8/16 20:00,,2,50.375,12.45,2417.5,585.5,12.15,20.05,,0,0,12.6975,
9/8/16 21:00,,2,48.225,10.825,2328.75,586.6,11.725,17.525,,0,0,12.66,
9/8/16 22:00,,2,45.9,10.05,2268.25,587.425,12.025,16.1,,0,0,12.6175,
9/8/16 23:00,,2,42.25,9.1,2228.25,588.3,10.125,15.05,,0,0,12.58,
9/9/16 0:00,,2,40.4,8.75,2194.25,588.775,11.025,14.275,,0,0,12.55,
9/9/16 1:00,,2,37.25,9,2177.5,589,10.425,14.275,,0,0,12.52,
9/9/16 2:00,,2,36.4,8.275,2161.75,589.375,9.45,13.725,,0,0,12.495,
9/9/16 3:00,,2,36.525,7.475,2136.5,589.875,9.125,12.975,,0,0,12.4675,
9/9/16 4:00,,2,36.975,6.625,2106.25,590.8,8.625,12.275,,0,0,12.435,
9/9/16 5:00,,2,36.5,5.9,2076,591.7,8.575,11.5,,0,0,12.405,
9/9/16 6:00,,2,37.725,6.725,2151.75,589.05,9.2,11.8,,0,0,12.7875,
9/9/16 7:00,,2,35.225,12.525,2438.75,581.175,10.275,15.425,,0,0,13.3925,
9/9/16 8:00,,2,35.05,16.125,2670,576.3,11.4,19.05,,0,0,13.9125,
9/9/16 9:00,,2,36.775,16.85,3097,560.225,12.65,21.95,,0,0,15.91,
9/9/16 10:00,,2,37.675,18.9,3145.25,562.3,14.45,25.2,,0,0,14.77,
9/9/16 11:00,,2,40.875,21.6,3053,567.125,15.1,27.75,,0,0,14.42,
9/9/16 12:00,,2,45.125,23.675,3042.75,567.7,16.25,30,,0,0,14.3625,
9/9/16 13:00,,2,45.75,25.45,3030.5,568.3,17.175,32.25,,0,0,14.22,
9/9/16 14:00,,2,48,27.025,3024.75,568.675,17.5,34.625,,0,0,14.05,
9/9/16 15:00,,2,50.1,28.1,3005.75,569.625,17.725,36.475,,0,0,13.91,
9/9/16 16:00,,2,51.7,28.075,2917,573.25,16.725,37.275,,0,0,13.5175,
9/9/16 17:00,,2,54.3,26.8,2709.25,580.55,15.85,37.325,,0,0,12.8675,
9/9/16 18:00,,2,57.775,22.775,2660,583.475,12.65,33.75,,0,0,12.8025,
9/9/16 19:00,,2,59.35,14.675,2531,586.425,8.525,24.85,,0,0,12.7375,
9/9/16 20:00,,2,50.825,8.675,2330.5,588.775,6.65,16.425,,0,0,12.68,
9/9/16 21:00,,2,47.025,6.35,2176.5,590.875,6.3,12.625,,0,0,12.63,
9/9/16 22:00,,2,46.75,5.1,2102,592.35,7.425,10.7,,0,0,12.5875,
9/9/16 23:00,,2,47.2,4,2047.25,593.475,8.025,9.35,,0,0,12.545,
9/10/16 0:00,,2,48.55,3.475,2015,594.3,7.225,8.85,,0,0,12.5075,
9/10/16 1:00,,2,46.975,1.975,1986.5,595.2,4.8,7.85,,0,0,12.475,
9/10/16 2:00,,2,49.525,1.025,1952.75,595.775,3.95,6.8,,0,0,12.4425,
9/10/16 3:00,,2,43.975,0.225,1912.5,596.675,2.25,5.55,,0,0,12.4075,
9/10/16 4:00,,2,44.225,0.975,1878.5,597.5,4.175,5.6,,0,0,12.3825,
9/10/16 5:00,,2,45.4,1.725,1878.75,597.65,5.925,6.075,,0,0,12.3625,
9/10/16 6:00,,2,48.25,3.775,1982.75,593.975,8.15,8,,0,0,12.785,
9/10/16 7:00,,2,46.975,10.675,2348.5,583.725,12.125,13,,0,0,13.5025,
9/10/16 8:00,,2,46.6,16.425,2637.25,578.15,13.15,18.675,,0,0,14.145,
9/10/16 9:00,,2,50.6,17.6,3004.5,566.1,13.35,22.825,,0,0,14.5975,
9/10/16 10:00,,2,52.025,18.975,3011.75,567.675,14.75,25.4,,0,0,14.5975,
9/10/16 11:00,,2,54.85,20.85,2931.5,572.3,15.925,27.75,,0,0,14.7775,
9/10/16 12:00,,2,53.35,22.775,3087.25,565.95,16.725,30.075,,0,0,14.4775,
9/10/16 13:00,,2,52.225,25.2,2951.5,572.3,19.375,32.75,,0,0,14.03,
9/10/16 14:00,,2,55.25,27.275,3103.25,567.1,19.75,35.7,,0,0,14.3,
9/10/16 15:00,,2,57,28.025,3089,568.075,20.075,37.125,,0,0,14.1175,
9/10/16 16:00,,2,59.775,28,2936.5,573.1,19.35,37.45,,0,0,13.6675,
9/10/16 17:00,,2,58.375,26.95,2702,580.9,17.6,37.6,,0,0,12.8925,
9/10/16 18:00,,2,58.45,22.775,2634.75,584.2,13.825,33.725,,0,0,12.8,
9/10/16 19:00,,2,62.65,15.475,2501.75,587.15,12.875,25,,0,0,12.74,
9/10/16 20:00,,2,61.275,12.425,2361.75,588.7,12.5,19.925,,0,0,12.6875,
9/10/16 21:00,,2,60.05,11.275,2266,589.825,12.6,17.65,,0,0,12.65,
9/10/16 22:00,,2,58.2,10.4,2216.75,590.65,12.425,16.3,,0,0,12.615,
9/10/16 23:00,,2,55.975,10,2181,591.025,12.725,15.55,,0,0,12.58,
9/11/16 0:00,,2,53.625,9.85,2157.5,591.35,12.525,15.275,,0,0,12.55,
9/11/16 1:00,,2,50.6,8.875,2135.5,591.9,10.525,14.525,,0,0,12.5225,
9/11/16 2:00,,2,52.35,8.625,2109.5,592.1,12.475,14.05,,0,0,12.49,
9/11/16 3:00,,2,51.1,9.275,2102.75,592.175,12.525,14.425,,0,0,12.4625,
9/11/16 4:00,,2,47.9,8.525,2097.25,592.85,10.075,14.175,,0,0,12.435,
9/11/16 5:00,,2,47.975,7.025,2060,593.675,10.275,12.85,,0,0,12.405,
9/11/16 6:00,,2,48.475,7.8,2101.75,592.025,11.45,12.875,,0,0,12.6925,
9/11/16 7:00,,2,47.675,12.2,2320.75,585.8,12.55,15.975,,0,0,13.1725,
9/11/16 8:00,,2,45.525,17.425,2595.5,579.45,13.9,20.55,,0,0,13.73,
9/11/16 9:00,,2,46.875,19.9,2943.75,570.1,14.825,24.7,,0,0,14.6775,
9/11/16 10:00,,2,45.675,22.2,3010.75,567.625,15.725,28.125,,0,0,14.16,
9/11/16 11:00,,2,44.95,23.65,3011.5,568.8,16.4,30.4,,0,0,14.3475,
9/11/16 12:00,,2,46.425,23.95,3116.75,565.425,18.175,30.925,,0,0,14.6425,
