Date,pm10ltp,pmfine
20-Apr-2016 21:00,12.5,5.8
20-Apr-2016 22:00,6,3.2
20-Apr-2016 23:00,5.4,3.5
21-Apr-2016 00:00,4,2.5
21-Apr-2016 01:00,4.5,2.6
21-Apr-2016 02:00,3.5,2.3
21-Apr-2016 03:00,3.7,2.3
21-Apr-2016 04:00,4.1,2.4
21-Apr-2016 05:00,5,2.7
21-Apr-2016 06:00,12,3.9
21-Apr-2016 07:00,5.2,2.7
21-Apr-2016 08:00,5.1,2.6
21-Apr-2016 09:00,5.5,2.6
21-Apr-2016 10:00,5.6,2.6
21-Apr-2016 11:00,4.8,2.3
21-Apr-2016 12:00,5.4,2.3
21-Apr-2016 13:00,5.6,2.3
21-Apr-2016 14:00,7,2.6
21-Apr-2016 15:00,6.5,2.5
21-Apr-2016 16:00,5.9,2.4
21-Apr-2016 17:00,6,2.7
21-Apr-2016 18:00,5.7,2.7
21-Apr-2016 19:00,13.5,4.7
21-Apr-2016 20:00,15,5.8
21-Apr-2016 21:00,12.8,5.1
21-Apr-2016 22:00,7.9,3.8
21-Apr-2016 23:00,6.3,3.1
22-Apr-2016 00:00,7.5,3.3
22-Apr-2016 01:00,5.9,2.9
22-Apr-2016 02:00,6.3,2.9
22-Apr-2016 03:00,5.4,2.8
22-Apr-2016 04:00,5.3,3
22-Apr-2016 05:00,4.9,2.6
22-Apr-2016 06:00,10.4,3.5
22-Apr-2016 07:00,25.5,5.6
22-Apr-2016 08:00,9.4,3.3
22-Apr-2016 09:00,17.5,4.1
22-Apr-2016 10:00,8.5,3
22-Apr-2016 11:00,16.9,4.3
22-Apr-2016 12:00,7,2.9
22-Apr-2016 13:00,11.2,3.5
22-Apr-2016 14:00,10.1,3.4
22-Apr-2016 15:00,8.5,3.1
22-Apr-2016 16:00,6.3,2.6
22-Apr-2016 17:00,7.9,2.9
22-Apr-2016 18:00,11.2,3.6
22-Apr-2016 19:00,15.3,4.7
22-Apr-2016 20:00,17.7,6.6
22-Apr-2016 21:00,18.8,7.6
22-Apr-2016 22:00,14,5.5
22-Apr-2016 23:00,13.1,4.4
23-Apr-2016 00:00,10.1,3.4
23-Apr-2016 01:00,8.4,3
23-Apr-2016 02:00,11.8,3.7
23-Apr-2016 03:00,7.6,3.2
23-Apr-2016 04:00,7.3,3.1
23-Apr-2016 05:00,8.5,3.1
23-Apr-2016 06:00,8.6,3.2
23-Apr-2016 07:00,10.4,3.2
23-Apr-2016 08:00,18.1,4.1
23-Apr-2016 09:00,37.9,6.1
23-Apr-2016 10:00,38.2,6.3
23-Apr-2016 11:00,60.1,8.4
23-Apr-2016 12:00,33.5,6
23-Apr-2016 13:00,21.3,4.7
23-Apr-2016 14:00,15.7,4.7
23-Apr-2016 15:00,21.8,4.3
23-Apr-2016 16:00,12.5,2.5
23-Apr-2016 17:00,7.5,1.9
23-Apr-2016 18:00,4.9,1.6
23-Apr-2016 19:00,3.1,1.1
23-Apr-2016 20:00,1.3,0.6
23-Apr-2016 21:00,1,0.6
23-Apr-2016 22:00,1.2,0.6
23-Apr-2016 23:00,1.1,0.6
24-Apr-2016 00:00,0.6,0.4
24-Apr-2016 01:00,1.5,0.6
24-Apr-2016 02:00,2.2,1
24-Apr-2016 03:00,2.5,1.2
24-Apr-2016 04:00,2.4,1.1
24-Apr-2016 05:00,2.9,1.3
24-Apr-2016 06:00,4.4,2.5
24-Apr-2016 07:00,2.4,0.9
24-Apr-2016 08:00,2.4,1
24-Apr-2016 09:00,2.5,1.1
24-Apr-2016 10:00,1.9,1.1
24-Apr-2016 11:00,2.5,1.1
24-Apr-2016 12:00,2.6,1.2
24-Apr-2016 13:00,3.1,1.5
24-Apr-2016 14:00,3.2,1.5
24-Apr-2016 15:00,4.2,1.9
24-Apr-2016 16:00,4.1,1.7
24-Apr-2016 17:00,5.2,2
24-Apr-2016 18:00,6.3,2.3
24-Apr-2016 19:00,6,2.3
24-Apr-2016 20:00,8.2,2.9
24-Apr-2016 21:00,12,3.3
24-Apr-2016 22:00,12.7,4.4
24-Apr-2016 23:00,11,4.1
25-Apr-2016 00:00,8.5,3
25-Apr-2016 01:00,7.2,2.8
25-Apr-2016 02:00,6.3,2.5
25-Apr-2016 03:00,7.9,3.2
25-Apr-2016 04:00,9.9,3.4
25-Apr-2016 05:00,11.6,4.2
25-Apr-2016 06:00,22,5
25-Apr-2016 07:00,13.9,3.4
25-Apr-2016 08:00,11.2,3
25-Apr-2016 09:00,8.9,2.8
25-Apr-2016 10:00,8.9,3.3
25-Apr-2016 11:00,16,5
25-Apr-2016 12:00,19.9,5.1
25-Apr-2016 13:00,12.1,4
25-Apr-2016 14:00,16,4.3
25-Apr-2016 15:00,11.7,3.7
25-Apr-2016 16:00,14.1,4.6
25-Apr-2016 17:00,17.6,5.3
25-Apr-2016 18:00,16.9,6.5
25-Apr-2016 19:00,11.8,4.9
25-Apr-2016 20:00,9.8,5.3
25-Apr-2016 21:00,11.7,5.2
25-Apr-2016 22:00,16.1,6.1
25-Apr-2016 23:00,11.5,5.3
26-Apr-2016 00:00,8.9,4.7
26-Apr-2016 01:00,8.5,4.8
26-Apr-2016 02:00,7.3,4.8
26-Apr-2016 03:00,7.1,5
26-Apr-2016 04:00,6.7,4.8
26-Apr-2016 05:00,8.7,6.1
26-Apr-2016 06:00,8.5,5.5
26-Apr-2016 07:00,8.5,5.9
26-Apr-2016 08:00,8.2,4.9
26-Apr-2016 09:00,19.8,13
26-Apr-2016 10:00,8.6,6.3
26-Apr-2016 11:00,7.6,5.6
26-Apr-2016 12:00,4,2.9
