timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:15:50,---,---,0,0,0.089512,0.232569,-0.826004,---,---,---
08/03/2016 07:15:54,19.31,63.87,---,---,---,---,---,---,---,---
08/03/2016 07:15:55,---,---,0,0,0.090392,0.232609,-0.826013,---,---,---
08/03/2016 07:15:59,19.31,63.82,---,---,---,---,---,---,---,---
08/03/2016 07:16:00,---,---,0,0,0.091242,0.23263,-0.826022,---,---,---
08/03/2016 07:16:04,19.32,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:05,---,63.77,0,0,0.092024,0.232663,-0.82603,---,---,---
08/03/2016 07:16:09,19.33,63.73,---,---,---,---,---,---,---,---
08/03/2016 07:16:10,---,---,0,0,0.092801,0.232676,-0.826032,---,---,---
08/03/2016 07:16:14,19.33,63.69,---,---,---,---,---,---,---,---
08/03/2016 07:16:15,---,---,0,0,0.093588,0.232697,-0.826036,---,---,---
08/03/2016 07:16:19,19.34,63.64,---,---,---,---,---,---,---,---
08/03/2016 07:16:20,---,---,0,0,0.094376,0.232735,-0.826044,---,---,---
08/03/2016 07:16:24,19.35,63.6,---,---,---,---,---,---,---,---
08/03/2016 07:16:25,---,---,0,0,0.095154,0.232769,-0.826045,---,---,---
08/03/2016 07:16:29,19.35,63.56,---,---,---,---,---,---,---,---
08/03/2016 07:16:30,---,---,0,0,0.095976,0.232805,-0.826043,---,---,---
08/03/2016 07:16:34,19.36,63.51,---,---,---,---,---,---,---,---
08/03/2016 07:16:35,---,---,0,0,0.096741,0.232826,-0.826043,---,---,---
08/03/2016 07:16:39,19.37,63.47,---,---,---,---,---,---,---,---
08/03/2016 07:16:40,---,---,0,0,0.097523,0.232833,-0.826051,---,---,---
08/03/2016 07:16:44,19.37,63.42,---,---,---,---,---,---,---,---
08/03/2016 07:16:45,---,---,0,0,0.098242,0.232832,-0.826057,---,---,---
08/03/2016 07:16:49,19.38,63.38,---,---,---,---,---,---,---,---
08/03/2016 07:16:50,---,---,0,0,0.09901,0.232822,-0.826066,---,---,---
08/03/2016 07:16:54,19.38,63.34,---,---,---,---,---,---,---,---
08/03/2016 07:16:55,---,---,0,0,0.099731,0.232842,-0.826073,---,---,---
08/03/2016 07:16:59,19.39,63.29,---,---,---,---,---,---,---,---
08/03/2016 07:17:00,---,---,0,0,0.10047,0.232865,-0.826074,---,---,---
08/03/2016 07:17:04,19.4,63.25,---,---,---,---,---,---,---,---
08/03/2016 07:17:05,---,---,0,0,0.101151,0.232872,-0.826079,---,---,---
08/03/2016 07:17:09,19.4,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:10,---,63.22,0,0,0.101873,0.232886,-0.826087,---,---,---
