timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:20:24,20.25,59.46,0,0,0.122953,0.176414,-0.825143,---,---,---
08/03/2016 07:20:29,20.25,59.44,0,0,0.123487,0.176647,-0.825163,---,---,---
08/03/2016 07:20:34,20.25,59.42,0,0,0.124033,0.176917,-0.825171,---,---,---
08/03/2016 07:20:39,20.26,59.4,0,0,0.124492,0.177153,-0.825174,---,---,---
08/03/2016 07:20:44,20.26,59.38,0,0,0.124934,0.177352,-0.825182,---,---,---
08/03/2016 07:20:49,20.26,59.37,0,0,0.125373,0.177521,-0.82522,---,---,---
08/03/2016 07:20:54,20.27,59.35,0,0,0.125819,0.177749,-0.825229,---,---,---
08/03/2016 07:20:59,20.27,59.34,0,0,0.126289,0.177958,-0.825237,---,---,---
08/03/2016 07:21:04,20.27,59.32,0,0,0.126777,0.178167,-0.825231,---,---,---
08/03/2016 07:21:09,20.27,59.3,0,0,0.127269,0.178382,-0.825228,---,---,---
08/03/2016 07:21:14,20.28,59.28,0,0,0.127683,0.178556,-0.825224,---,---,---
08/03/2016 07:21:19,20.28,---,---,---,---,---,---,---,---,---
08/03/2016 07:21:20,---,59.26,0,0,0.128092,0.178778,-0.825233,---,---,---
08/03/2016 07:21:24,20.28,59.24,0,0,0.128512,0.178987,-0.825234,---,---,---
08/03/2016 07:21:29,20.29,59.23,0,0,0.128933,0.179239,-0.825247,---,---,---
08/03/2016 07:21:34,20.29,59.22,0,0,0.12942,0.179467,-0.82525,---,---,---
08/03/2016 07:21:39,20.29,59.2,0,0,0.129889,0.179671,-0.825258,---,---,---
08/03/2016 07:21:44,20.3,59.18,0,0,0.130349,0.179861,-0.825265,---,---,---
08/03/2016 07:21:49,20.3,59.15,0,0,0.13072,0.180043,-0.825282,---,---,---
08/03/2016 07:21:54,20.3,59.13,0,0,0.131116,0.180267,-0.825293,---,---,---
08/03/2016 07:21:59,20.31,59.11,0,0,0.131448,0.180472,-0.825304,---,---,---
08/03/2016 07:22:04,20.31,59.09,0,0,0.131815,0.180696,-0.825298,---,---,---
08/03/2016 07:22:09,20.31,59.07,0,0,0.132201,0.180774,-0.825307,---,---,---
08/03/2016 07:22:14,20.32,59.06,0,0,0.132969,0.180962,-0.825311,---,---,---
08/03/2016 07:22:19,20.32,59.04,0,---,0.133419,0.181134,---,---,---,---
08/03/2016 07:22:20,---,---,---,0,---,---,-0.825326,---,---,---
08/03/2016 07:22:24,20.32,59.03,0,0,0.133886,0.181295,-0.82534,---,---,---
08/03/2016 07:22:29,20.33,59.01,0,0,0.134302,0.181442,-0.825343,---,---,---
08/03/2016 07:22:34,20.33,59,0,0,0.134674,0.181634,-0.825346,---,---,---
08/03/2016 07:22:39,20.33,58.98,0,0,0.135031,0.181827,-0.825353,---,---,---
08/03/2016 07:22:44,20.34,58.97,0,0,0.135468,0.181994,-0.825363,---,---,---
08/03/2016 07:22:49,20.34,58.95,0,0,0.135639,0.182168,-0.825373,---,---,---
